"epoch","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - _step","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - _step__MIN","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - _step__MAX","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - Train/weight_grad_norm","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - Train/weight_grad_norm__MIN","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - Train/weight_grad_norm__MAX","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - _step","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - _step__MIN","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - _step__MAX","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - Train/weight_grad_norm","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - Train/weight_grad_norm__MIN","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - Train/weight_grad_norm__MAX"
"85","52868.529411764706","52603","53181","0.2543012999436435","0.20122307538986206","0.30932334065437317","52928.69696969697","52585","53199","0.2885240059007298","0.2338503897190094","0.3499608039855957"
"86","53557.857142857145","53255","53819","0.26217287832072805","0.2136021852493286","0.31671762466430664","53499.8","53241","53825","0.28841682970523835","0.25497865676879883","0.33202993869781494"
"87","54154.179487179485","53837","54449","0.2605035247711035","0.20141170918941498","0.31111371517181396","54122.70731707317","53869","54457","0.2949161565885311","0.24680547416210175","0.3489575982093811"
"88","54782.42857142857","54463","55067","0.2575699862624918","0.23197537660598755","0.2978344261646271","54727.7027027027","54467","55073","0.2928815685413979","0.24746981263160706","0.34535208344459534"
"89","55363.21621621621","55091","55665","0.25341049239442154","0.21347109973430634","0.2955280542373657","55368.31428571429","55093","55699","0.28969687862055643","0.2383594810962677","0.3586433231830597"
"90","55994.61111111111","55717","56325","0.25238047250443035","0.1934604048728943","0.30874767899513245","55995.117647058825","55719","56309","0.2880193713833304","0.24443340301513672","0.32369711995124817"
"91","56618.02127659575","56351","56961","0.2582727610430819","0.21168699860572815","0.30023932456970215","56694.42857142857","56341","56953","0.29908748865127566","0.2608078718185425","0.3557567000389099"
"92","57259.3870967742","56973","57579","0.26187826020102345","0.21793489158153534","0.30850929021835327","57289.37037037037","56971","57575","0.29957290600847314","0.2623339593410492","0.33485284447669983"
"93","57931.90909090909","57623","58189","0.25743853865247784","0.2283029556274414","0.29555702209472656","57905.829268292684","57597","58215","0.29762659567158395","0.2611195743083954","0.36171090602874756"
"94","58521.1935483871","58257","58837","0.26029098995270267","0.22656790912151337","0.3067396581172943","58570.125","58251","58827","0.29071367532014847","0.2618604600429535","0.34719425439834595"
