"epoch","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - _step","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - _step__MIN","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - _step__MAX","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - Train/weight_norm","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - Train/weight_norm__MIN","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - Train/weight_norm__MAX","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - _step","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - _step__MIN","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - _step__MAX","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - Train/weight_norm","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - Train/weight_norm__MIN","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - Train/weight_norm__MAX"
"141","87952","87641","88263","5.409284088856134","5.405899524688721","5.420433521270752","87952","87641","88263","4.749076905923012","4.7453131675720215","4.756236553192139"
"142","88578","88267","88889","5.39848850782101","5.393845081329346","5.408297061920166","88578","88267","88889","4.740617078084212","4.736831188201904","4.747228145599365"
"143","89204","88893","89515","5.395403557862991","5.392416000366211","5.400412082672119","89204","88893","89515","4.737842805874654","4.73442268371582","4.743139266967773"
"144","89830","89519","90141","5.386034656793643","5.382152080535889","5.395882606506348","89830","89519","90141","4.7273812523254986","4.723873138427734","4.735872268676758"
"145","90456","90145","90767","5.376695094964443","5.371655464172363","5.386363506317139","90456","90145","90767","4.715423023089384","4.709878444671631","4.7242960929870605"
"146","91082","90771","91393","5.370516526393401","5.3681159019470215","5.3768110275268555","91082","90771","91393","4.7036009308619375","4.697929859161377","4.709842205047607"
"147","91708","91397","92019","5.358320020712339","5.353675365447998","5.368531703948975","91708","91397","92019","4.689516640626467","4.684961795806885","4.697935581207275"
"148","92334","92023","92645","5.3485699372413835","5.3457841873168945","5.354351997375488","92334","92023","92645","4.674326801911379","4.670296669006348","4.685168743133545"
"149","92960","92649","93271","5.344518210643377","5.341418743133545","5.350093364715576","92960","92649","93271","4.6645004871564035","4.661497592926025","4.671964645385742"
"150","93586","93275","93897","5.3392132474825935","5.335055828094482","5.348217487335205","93586","93275","93897","4.656296653625293","4.651594161987305","4.663622856140137"
"151","94212","93901","94523","5.3278714036330195","5.324307441711426","5.337330341339111","94212","93901","94523","4.645332366992266","4.639150142669678","4.655937671661377"
"152","94838","94527","95149","5.320346040603442","5.317340850830078","5.326449394226074","94838","94527","95149","4.633530382926647","4.628969669342041","4.641927719116211"
"153","95464","95153","95775","5.314817943634131","5.308688163757324","5.323038578033447","95464","95153","95775","4.6232955409930305","4.6208648681640625","4.629284381866455"
"154","96090","95779","96401","5.302500111934466","5.2992424964904785","5.3086628913879395","96090","95779","96401","4.61793499879348","4.613450527191162","4.625415325164795"
