"epoch","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step__MIN","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step__MAX","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/Accuracy","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/Accuracy__MIN","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/Accuracy__MAX","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step__MIN","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step__MAX","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/Accuracy","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/Accuracy__MIN","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/Accuracy__MAX"
"77","24252","24252","24252","0.9771999716758728","0.9771999716758728","0.9771999716758728","24176","24176","24176","0.9704999923706055","0.9704999923706055","0.9704999923706055"
"78","24567","24567","24567","0.9797250032424927","0.9797250032424927","0.9797250032424927","24490","24490","24490","0.9718250036239624","0.9718250036239624","0.9718250036239624"
"79","24882","24882","24882","0.9786999821662903","0.9786999821662903","0.9786999821662903","24804","24804","24804","0.9716500043869019","0.9716500043869019","0.9716500043869019"
"80","25197","25197","25197","0.9778749942779541","0.9778749942779541","0.9778749942779541","25118","25118","25118","0.97489994764328","0.97489994764328","0.97489994764328"
"81","25512","25512","25512","0.9787249565124512","0.9787249565124512","0.9787249565124512","25432","25432","25432","0.9765249490737915","0.9765249490737915","0.9765249490737915"
"82","25827","25827","25827","0.9800999760627747","0.9800999760627747","0.9800999760627747","25746","25746","25746","0.9740999937057495","0.9740999937057495","0.9740999937057495"
"83","26142","26142","26142","0.9819749593734741","0.9819749593734741","0.9819749593734741","26060","26060","26060","0.9744249582290649","0.9744249582290649","0.9744249582290649"
"84","26457","26457","26457","0.981374979019165","0.981374979019165","0.981374979019165","26374","26374","26374","0.9756499528884888","0.9756499528884888","0.9756499528884888"
"85","26772","26772","26772","0.9820500016212463","0.9820500016212463","0.9820500016212463","26688","26688","26688","0.9777999520301819","0.9777999520301819","0.9777999520301819"
"86","27087","27087","27087","0.9826499819755554","0.9826499819755554","0.9826499819755554","27002","27002","27002","0.9787249565124512","0.9787249565124512","0.9787249565124512"
"87","27402","27402","27402","0.9838500022888184","0.9838500022888184","0.9838500022888184","27316","27316","27316","0.978149950504303","0.978149950504303","0.978149950504303"
"88","27717","27717","27717","0.9841249585151672","0.9841249585151672","0.9841249585151672","27630","27630","27630","0.9801249504089355","0.9801249504089355","0.9801249504089355"
"89","28032","28032","28032","0.9847749471664429","0.9847749471664429","0.9847749471664429","27944","27944","27944","0.9802500009536743","0.9802500009536743","0.9802500009536743"
"90","28347","28347","28347","0.9864749908447266","0.9864749908447266","0.9864749908447266","28258","28258","28258","0.9788749814033508","0.9788749814033508","0.9788749814033508"
"91","28662","28662","28662","0.9854999780654907","0.9854999780654907","0.9854999780654907","28572","28572","28572","0.9807249903678894","0.9807249903678894","0.9807249903678894"
"92","28977","28977","28977","0.9866249561309814","0.9866249561309814","0.9866249561309814","28886","28886","28886","0.9831249713897705","0.9831249713897705","0.9831249713897705"
"93","29292","29292","29292","0.9863499999046326","0.9863499999046326","0.9863499999046326","29200","29200","29200","0.9821999669075012","0.9821999669075012","0.9821999669075012"
"94","29607","29607","29607","0.9877249598503113","0.9877249598503113","0.9877249598503113","29514","29514","29514","0.9825999736785889","0.9825999736785889","0.9825999736785889"
"95","29922","29922","29922","0.9886749982833862","0.9886749982833862","0.9886749982833862","29828","29828","29828","0.981624960899353","0.981624960899353","0.981624960899353"
"96","30237","30237","30237","0.9903749823570251","0.9903749823570251","0.9903749823570251","30142","30142","30142","0.9826249480247498","0.9826249480247498","0.9826249480247498"
"97","30552","30552","30552","0.9903499484062195","0.9903499484062195","0.9903499484062195","30456","30456","30456","0.9830999970436096","0.9830999970436096","0.9830999970436096"
"98","30867","30867","30867","0.9903249740600586","0.9903249740600586","0.9903249740600586","30770","30770","30770","0.9842000007629395","0.9842000007629395","0.9842000007629395"
"99","31182","31182","31182","0.9893249869346619","0.9893249869346619","0.9893249869346619","31084","31084","31084","0.9854249954223633","0.9854249954223633","0.9854249954223633"
"100","31497","31497","31497","0.990024983882904","0.990024983882904","0.990024983882904","31398","31398","31398","0.9863249659538269","0.9863249659538269","0.9863249659538269"
"101","31812","31812","31812","0.9908749461174011","0.9908749461174011","0.9908749461174011","31712","31712","31712","0.9856249690055847","0.9856249690055847","0.9856249690055847"
"102","32127","32127","32127","0.9910749793052673","0.9910749793052673","0.9910749793052673","32026","32026","32026","0.986674964427948","0.986674964427948","0.986674964427948"
"103","32442","32442","32442","0.9927749633789062","0.9927749633789062","0.9927749633789062","32340","32340","32340","0.9856749773025513","0.9856749773025513","0.9856749773025513"
"104","32757","32757","32757","0.991724967956543","0.991724967956543","0.991724967956543","32654","32654","32654","0.9842499494552612","0.9842499494552612","0.9842499494552612"
"105","33072","33072","33072","0.9914249777793884","0.9914249777793884","0.9914249777793884","32968","32968","32968","0.9837999939918518","0.9837999939918518","0.9837999939918518"
"106","33387","33387","33387","0.9919499754905701","0.9919499754905701","0.9919499754905701","33282","33282","33282","0.9836249947547913","0.9836249947547913","0.9836249947547913"
"107","33702","33702","33702","0.9925249814987183","0.9925249814987183","0.9925249814987183","33596","33596","33596","0.9860000014305115","0.9860000014305115","0.9860000014305115"
"108","34017","34017","34017","0.9928249716758728","0.9928249716758728","0.9928249716758728","33910","33910","33910","0.9841499924659729","0.9841499924659729","0.9841499924659729"
"109","34332","34332","34332","0.9934249520301819","0.9934249520301819","0.9934249520301819","34224","34224","34224","0.9871249794960022","0.9871249794960022","0.9871249794960022"
"110","34647","34647","34647","0.9932000041007996","0.9932000041007996","0.9932000041007996","34538","34538","34538","0.9873499870300293","0.9873499870300293","0.9873499870300293"
"111","34962","34962","34962","0.993274986743927","0.993274986743927","0.993274986743927","34852","34852","34852","0.988099992275238","0.988099992275238","0.988099992275238"
"112","35277","35277","35277","0.9935500025749207","0.9935500025749207","0.9935500025749207","35166","35166","35166","0.9872249960899353","0.9872249960899353","0.9872249960899353"
"113","35592","35592","35592","0.9931249618530273","0.9931249618530273","0.9931249618530273","35480","35480","35480","0.9862249493598938","0.9862249493598938","0.9862249493598938"
"114","35907","35907","35907","0.9935749769210815","0.9935749769210815","0.9935749769210815","35794","35794","35794","0.9879999756813049","0.9879999756813049","0.9879999756813049"
"115","36222","36222","36222","0.993524968624115","0.993524968624115","0.993524968624115","36108","36108","36108","0.9852749705314636","0.9852749705314636","0.9852749705314636"
"116","36537","36537","36537","0.9932999610900879","0.9932999610900879","0.9932999610900879","36422","36422","36422","0.9868749976158142","0.9868749976158142","0.9868749976158142"
"117","36852","36852","36852","0.9939999580383301","0.9939999580383301","0.9939999580383301","36736","36736","36736","0.9869999885559082","0.9869999885559082","0.9869999885559082"
"118","37167","37167","37167","0.9939999580383301","0.9939999580383301","0.9939999580383301","37050","37050","37050","0.9874500036239624","0.9874500036239624","0.9874500036239624"
"119","37482","37482","37482","0.9943749904632568","0.9943749904632568","0.9943749904632568","37364","37364","37364","0.9867249727249146","0.9867249727249146","0.9867249727249146"
"120","37797","37797","37797","0.9944999814033508","0.9944999814033508","0.9944999814033508","37678","37678","37678","0.9866499900817871","0.9866499900817871","0.9866499900817871"
"121","38112","38112","38112","0.9945249557495117","0.9945249557495117","0.9945249557495117","37992","37992","37992","0.9887499809265137","0.9887499809265137","0.9887499809265137"
"122","38427","38427","38427","0.9947249889373779","0.9947249889373779","0.9947249889373779","38306","38306","38306","0.9891499876976013","0.9891499876976013","0.9891499876976013"
"123","38742","38742","38742","0.9960500001907349","0.9960500001907349","0.9960500001907349","38620","38620","38620","0.9888499975204468","0.9888499975204468","0.9888499975204468"
"124","39057","39057","39057","0.9956499934196472","0.9956499934196472","0.9956499934196472","38934","38934","38934","0.9888999462127686","0.9888999462127686","0.9888999462127686"
"125","39372","39372","39372","0.9946999549865723","0.9946999549865723","0.9946999549865723","39248","39248","39248","0.9894999861717224","0.9894999861717224","0.9894999861717224"
"126","39687","39687","39687","0.995324969291687","0.995324969291687","0.995324969291687","39562","39562","39562","0.9899749755859375","0.9899749755859375","0.9899749755859375"
"127","40002","40002","40002","0.9952249526977539","0.9952249526977539","0.9952249526977539","39876","39876","39876","0.9904499650001526","0.9904499650001526","0.9904499650001526"
"128","40317","40317","40317","0.9955250024795532","0.9955250024795532","0.9955250024795532","40190","40190","40190","0.9914499521255493","0.9914499521255493","0.9914499521255493"
"129","40632","40632","40632","0.995574951171875","0.995574951171875","0.995574951171875","40504","40504","40504","0.9906749725341797","0.9906749725341797","0.9906749725341797"
"130","40947","40947","40947","0.9960749745368958","0.9960749745368958","0.9960749745368958","40818","40818","40818","0.9897249937057495","0.9897249937057495","0.9897249937057495"
"131","41262","41262","41262","0.9962249994277954","0.9962249994277954","0.9962249994277954","41132","41132","41132","0.9896249771118164","0.9896249771118164","0.9896249771118164"
"132","41577","41577","41577","0.9956749677658081","0.9956749677658081","0.9956749677658081","41446","41446","41446","0.9899999499320984","0.9899999499320984","0.9899999499320984"
"133","41892","41892","41892","0.9962999820709229","0.9962999820709229","0.9962999820709229","41760","41760","41760","0.9885249733924866","0.9885249733924866","0.9885249733924866"
"134","42207","42207","42207","0.9961999654769897","0.9961999654769897","0.9961999654769897","42074","42074","42074","0.9891249537467957","0.9891249537467957","0.9891249537467957"
"135","42522","42522","42522","0.9967249631881714","0.9967249631881714","0.9967249631881714","42388","42388","42388","0.9904249906539917","0.9904249906539917","0.9904249906539917"
"136","42837","42837","42837","0.9965499639511108","0.9965499639511108","0.9965499639511108","42702","42702","42702","0.9894999861717224","0.9894999861717224","0.9894999861717224"
"137","43152","43152","43152","0.9964249730110168","0.9964249730110168","0.9964249730110168","43016","43016","43016","0.9911249876022339","0.9911249876022339","0.9911249876022339"
"138","43467","43467","43467","0.996649980545044","0.996649980545044","0.996649980545044","43330","43330","43330","0.9909999966621399","0.9909999966621399","0.9909999966621399"
"139","43782","43782","43782","0.9966249465942383","0.9966249465942383","0.9966249465942383","43644","43644","43644","0.9916499853134155","0.9916499853134155","0.9916499853134155"
"140","44097","44097","44097","0.9965499639511108","0.9965499639511108","0.9965499639511108","43958","43958","43958","0.9915499687194824","0.9915499687194824","0.9915499687194824"
"141","44412","44412","44412","0.9963499903678894","0.9963499903678894","0.9963499903678894","44272","44272","44272","0.9910249710083008","0.9910249710083008","0.9910249710083008"
"142","44727","44727","44727","0.9966749548912048","0.9966749548912048","0.9966749548912048","44586","44586","44586","0.9916999936103821","0.9916999936103821","0.9916999936103821"
"143","45042","45042","45042","0.9965499639511108","0.9965499639511108","0.9965499639511108","44900","44900","44900","0.9912999868392944","0.9912999868392944","0.9912999868392944"
"144","45357","45357","45357","0.9965749979019165","0.9965749979019165","0.9965749979019165","45214","45214","45214","0.991225004196167","0.991225004196167","0.991225004196167"
"145","45672","45672","45672","0.9970499873161316","0.9970499873161316","0.9970499873161316","45528","45528","45528","0.9905749559402466","0.9905749559402466","0.9905749559402466"
"146","45987","45987","45987","0.9969249963760376","0.9969249963760376","0.9969249963760376","45842","45842","45842","0.9910749793052673","0.9910749793052673","0.9910749793052673"
"147","46302","46302","46302","0.997124969959259","0.997124969959259","0.997124969959259","46156","46156","46156","0.9914249777793884","0.9914249777793884","0.9914249777793884"
"148","46617","46617","46617","0.9971999526023865","0.9971999526023865","0.9971999526023865","46470","46470","46470","0.9910249710083008","0.9910249710083008","0.9910249710083008"
