"epoch","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MAX","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/Accuracy","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/Accuracy__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/Accuracy__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/Accuracy","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/Accuracy__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/Accuracy__MAX"
"76","23937","23937","23937","0.6700999736785889","0.6700999736785889","0.6700999736785889","23937","23937","23937","0.9291749596595764","0.9291749596595764","0.9291749596595764"
"77","24252","24252","24252","0.6715499758720398","0.6715499758720398","0.6715499758720398","24252","24252","24252","0.9325999617576599","0.9325999617576599","0.9325999617576599"
"78","24567","24567","24567","0.6747499704360962","0.6747499704360962","0.6747499704360962","24567","24567","24567","0.9368999600410461","0.9368999600410461","0.9368999600410461"
"79","24882","24882","24882","0.676099956035614","0.676099956035614","0.676099956035614","24882","24882","24882","0.9394999742507935","0.9394999742507935","0.9394999742507935"
"80","25197","25197","25197","0.6766499876976013","0.6766499876976013","0.6766499876976013","25197","25197","25197","0.9343249797821045","0.9343249797821045","0.9343249797821045"
"81","25512","25512","25512","0.6728999614715576","0.6728999614715576","0.6728999614715576","25512","25512","25512","0.9356499910354614","0.9356499910354614","0.9356499910354614"
"82","25827","25827","25827","0.6801499724388123","0.6801499724388123","0.6801499724388123","25827","25827","25827","0.9410249590873718","0.9410249590873718","0.9410249590873718"
"83","26142","26142","26142","0.6815499663352966","0.6815499663352966","0.6815499663352966","26142","26142","26142","0.9402749538421631","0.9402749538421631","0.9402749538421631"
"84","26457","26457","26457","0.6796749830245972","0.6796749830245972","0.6796749830245972","26457","26457","26457","0.9398749470710754","0.9398749470710754","0.9398749470710754"
"85","26772","26772","26772","0.6822749972343445","0.6822749972343445","0.6822749972343445","26772","26772","26772","0.9449999928474426","0.9449999928474426","0.9449999928474426"
"86","27087","27087","27087","0.6835500001907349","0.6835500001907349","0.6835500001907349","27087","27087","27087","0.948574960231781","0.948574960231781","0.948574960231781"
"87","27402","27402","27402","0.6864500045776367","0.6864500045776367","0.6864500045776367","27402","27402","27402","0.9519000053405762","0.9519000053405762","0.9519000053405762"
"88","27717","27717","27717","0.6834749579429626","0.6834749579429626","0.6834749579429626","27717","27717","27717","0.946774959564209","0.946774959564209","0.946774959564209"
"89","28032","28032","28032","0.6895999908447266","0.6895999908447266","0.6895999908447266","28032","28032","28032","0.9491499662399292","0.9491499662399292","0.9491499662399292"
"90","28347","28347","28347","0.6897499561309814","0.6897499561309814","0.6897499561309814","28347","28347","28347","0.9472000002861023","0.9472000002861023","0.9472000002861023"
"91","28662","28662","28662","0.6943749785423279","0.6943749785423279","0.6943749785423279","28662","28662","28662","0.9475249648094177","0.9475249648094177","0.9475249648094177"
"92","28977","28977","28977","0.6919499635696411","0.6919499635696411","0.6919499635696411","28977","28977","28977","0.9487749934196472","0.9487749934196472","0.9487749934196472"
"93","29292","29292","29292","0.698199987411499","0.698199987411499","0.698199987411499","29292","29292","29292","0.9495999813079834","0.9495999813079834","0.9495999813079834"
"94","29607","29607","29607","0.6941999793052673","0.6941999793052673","0.6941999793052673","29607","29607","29607","0.948074996471405","0.948074996471405","0.948074996471405"
"95","29922","29922","29922","0.6902749538421631","0.6902749538421631","0.6902749538421631","29922","29922","29922","0.9548249840736389","0.9548249840736389","0.9548249840736389"
"96","30237","30237","30237","0.7006750106811523","0.7006750106811523","0.7006750106811523","30237","30237","30237","0.9575749635696411","0.9575749635696411","0.9575749635696411"
