"epoch","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - _step","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - _step__MIN","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - _step__MAX","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - learning_rate","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - learning_rate__MIN","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - learning_rate__MAX"
"175","54949","54949","54949","0.018529523872436983","0.018529523872436983","0.018529523872436983"
"176","55263","55263","55263","0.018277004484618362","0.018277004484618362","0.018277004484618362"
"177","55577","55577","55577","0.018025222349019262","0.018025222349019262","0.018025222349019262"
"178","55891","55891","55891","0.017774205076388203","0.017774205076388203","0.017774205076388203"
"179","56205","56205","56205","0.017523980193597834","0.017523980193597834","0.017523980193597834"
"180","56519","56519","56519","0.017274575140626313","0.017274575140626313","0.017274575140626313"
"181","56833","56833","56833","0.01702601726754825","0.01702601726754825","0.01702601726754825"
"182","57147","57147","57147","0.016778333831535416","0.016778333831535416","0.016778333831535416"
"183","57461","57461","57461","0.016531551993867712","0.016531551993867712","0.016531551993867712"
"184","57775","57775","57775","0.01628569881695462","0.01628569881695462","0.01628569881695462"
"185","58089","58089","58089","0.016040801261367494","0.016040801261367494","0.016040801261367494"
"186","58403","58403","58403","0.015796886182883052","0.015796886182883052","0.015796886182883052"
"187","58717","58717","58717","0.015553980329538314","0.015553980329538314","0.015553980329538314"
"188","59031","59031","59031","0.015312110338697421","0.015312110338697421","0.015312110338697421"
"189","59345","59345","59345","0.015071302734130475","0.015071302734130475","0.015071302734130475"
"190","59659","59659","59659","0.014831583923104987","0.014831583923104987","0.014831583923104987"
"191","59973","59973","59973","0.014592980193489969","0.014592980193489969","0.014592980193489969"
"192","60287","60287","60287","0.014355517710873178","0.014355517710873178","0.014355517710873178"
"193","60601","60601","60601","0.01411922251569181","0.01411922251569181","0.01411922251569181"
"194","60915","60915","60915","0.013884120520376813","0.013884120520376813","0.013884120520376813"
"195","61229","61229","61229","0.013650237506511325","0.013650237506511325","0.013650237506511325"
"196","61543","61543","61543","0.013417599122003456","0.013417599122003456","0.013417599122003456"
"197","61857","61857","61857","0.013186230878273647","0.013186230878273647","0.013186230878273647"
"198","62171","62171","62171","0.012956158147457108","0.012956158147457108","0.012956158147457108"
"199","62485","62485","62485","0.012727406159621472","0.012727406159621472","0.012727406159621472"
"200","62799","62799","62799","0.012499999999999987","0.012499999999999987","0.012499999999999987"
"201","63113","63113","63113","0.01227396460624071","0.01227396460624071","0.01227396460624071"
"202","63427","63427","63427","0.012049324765671741","0.012049324765671741","0.012049324765671741"
"203","63741","63741","63741","0.011826105112583054","0.011826105112583054","0.011826105112583054"
"204","64055","64055","64055","0.011604330125525083","0.011604330125525083","0.011604330125525083"
"205","64369","64369","64369","0.011384024124624324","0.011384024124624324","0.011384024124624324"
"206","64683","64683","64683","0.011165211268916392","0.011165211268916392","0.011165211268916392"
"207","64997","64997","64997","0.010947915553696733","0.010947915553696733","0.010947915553696733"
"208","65311","65311","65311","0.010732160807889203","0.010732160807889203","0.010732160807889203"
"209","65625","65625","65625","0.010517970691433018","0.010517970691433018","0.010517970691433018"
"210","65939","65939","65939","0.010305368692688166","0.010305368692688166","0.010305368692688166"
"211","66253","66253","66253","0.010094378125859593","0.010094378125859593","0.010094378125859593"
"212","66567","66567","66567","0.009885022128440621","0.009885022128440621","0.009885022128440621"
"213","66881","66881","66881","0.009677323658675586","0.009677323658675586","0.009677323658675586"
"214","67195","67195","67195","0.009471305493042235","0.009471305493042235","0.009471305493042235"
"215","67509","67509","67509","0.00926699022375406","0.00926699022375406","0.00926699022375406"
"216","67823","67823","67823","0.009064400256282749","0.009064400256282749","0.009064400256282749"
"217","68137","68137","68137","0.008863557806901233","0.008863557806901233","0.008863557806901233"
"218","68451","68451","68451","0.008664484900247363","0.008664484900247363","0.008664484900247363"
"219","68765","68765","68765","0.00846720336690869","0.00846720336690869","0.00846720336690869"
"220","69079","69079","69079","0.008271734841028536","0.008271734841028536","0.008271734841028536"
"221","69393","69393","69393","0.008078100757933476","0.008078100757933476","0.008078100757933476"
"222","69707","69707","69707","0.007886322351782774","0.007886322351782774","0.007886322351782774"
"223","70021","70021","70021","0.007696420653239826","0.007696420653239826","0.007696420653239826"
"224","70335","70335","70335","0.0075084164871658575","0.0075084164871658575","0.0075084164871658575"
"225","70649","70649","70649","0.007322330470336307","0.007322330470336307","0.007322330470336307"
"226","70963","70963","70963","0.007138183009179916","0.007138183009179916","0.007138183009179916"
"227","71277","71277","71277","0.00695599429754094","0.00695599429754094","0.00695599429754094"
"228","71591","71591","71591","0.006775784314464711","0.006775784314464711","0.006775784314464711"
"229","71905","71905","71905","0.0065975728220066445","0.0065975728220066445","0.0065975728220066445"
"230","72219","72219","72219","0.006421379363065136","0.006421379363065136","0.006421379363065136"
"231","72533","72533","72533","0.006247223259238508","0.006247223259238508","0.006247223259238508"
"232","72847","72847","72847","0.006075123608706087","0.006075123608706087","0.006075123608706087"
"233","73161","73161","73161","0.005905099284133941","0.005905099284133941","0.005905099284133941"
"234","73475","73475","73475","0.0057371689306052655","0.0057371689306052655","0.0057371689306052655"
"235","73789","73789","73789","0.005571350963575722","0.005571350963575722","0.005571350963575722"
"236","74103","74103","74103","0.005407663566854001","0.005407663566854001","0.005407663566854001"
"237","74417","74417","74417","0.00524612469060774","0.00524612469060774","0.00524612469060774"
"238","74731","74731","74731","0.005086752049395091","0.005086752049395091","0.005086752049395091"
"239","75045","75045","75045","0.004929563120222136","0.004929563120222136","0.004929563120222136"
"240","75359","75359","75359","0.0047745751406263115","0.0047745751406263115","0.0047745751406263115"
"241","75673","75673","75673","0.004621805106786137","0.004621805106786137","0.004621805106786137"
"242","75987","75987","75987","0.004471269771657394","0.004471269771657394","0.004471269771657394"
"243","76301","76301","76301","0.004322985643135947","0.004322985643135947","0.004322985643135947"
"244","76615","76615","76615","0.0041769689822475095","0.0041769689822475095","0.0041769689822475095"
"245","76929","76929","76929","0.004033235801364397","0.004033235801364397","0.004033235801364397"
"246","77243","77243","77243","0.003891801862449619","0.003891801862449619","0.003891801862449619"
"247","77557","77557","77557","0.003752682675328402","0.003752682675328402","0.003752682675328402"
"248","77871","77871","77871","0.0036158934959873313","0.0036158934959873313","0.0036158934959873313"
"249","78185","78185","78185","0.003481449324901408","0.003481449324901408","0.003481449324901408"
"250","78499","78499","78499","0.0033493649053890342","0.0033493649053890342","0.0033493649053890342"
"251","78813","78813","78813","0.0032196547219952567","0.0032196547219952567","0.0032196547219952567"
"252","79127","79127","79127","0.003092332998903407","0.003092332998903407","0.003092332998903407"
"253","79441","79441","79441","0.002967413698375193","0.002967413698375193","0.002967413698375193"
"254","79755","79755","79755","0.002844910519219629","0.002844910519219629","0.002844910519219629"
"255","80069","80069","80069","0.002724836895290803","0.002724836895290803","0.002724836895290803"
"256","80383","80383","80383","0.0026072059940146805","0.0026072059940146805","0.0026072059940146805"
"257","80697","80697","80697","0.0024920307149451596","0.0024920307149451596","0.0024920307149451596"
"258","81011","81011","81011","0.0023793236883495137","0.0023793236883495137","0.0023793236883495137"
"259","81325","81325","81325","0.0022690972738232847","0.0022690972738232847","0.0022690972738232847"
"260","81639","81639","81639","0.002161363558934979","0.002161363558934979","0.002161363558934979"
"261","81953","81953","81953","0.002056134357900475","0.002056134357900475","0.002056134357900475"
"262","82267","82267","82267","0.0019534212102874826","0.0019534212102874826","0.0019534212102874826"
"263","82581","82581","82581","0.0018532353797501302","0.0018532353797501302","0.0018532353797501302"
"264","82895","82895","82895","0.0017555878527937148","0.0017555878527937148","0.0017555878527937148"
"265","83209","83209","83209","0.001660489337569955","0.001660489337569955","0.001660489337569955"
