"Step","mobilenet_Task Weight Decay_0.0001_Sunday_16_March_2025_02h_47m_48s - Train/loss","mobilenet_Task Weight Decay_0.0001_Sunday_16_March_2025_02h_47m_48s - Train/loss__MIN","mobilenet_Task Weight Decay_0.0001_Sunday_16_March_2025_02h_47m_48s - Train/loss__MAX","mobilenet_Task Weight Decay_0.0005_Sunday_16_March_2025_02h_46m_11s - Train/loss","mobilenet_Task Weight Decay_0.0005_Sunday_16_March_2025_02h_46m_11s - Train/loss__MIN","mobilenet_Task Weight Decay_0.0005_Sunday_16_March_2025_02h_46m_11s - Train/loss__MAX"
"1142","3.0446090698242188","3.0446090698242188","3.0446090698242188","","",""
"1144","","","","3.088804244995117","3.088804244995117","3.088804244995117"
"1145","3.0367696285247803","3.0367696285247803","3.0367696285247803","","",""
"1152","2.9821269512176514","2.9821269512176514","2.9821269512176514","2.9362833499908447","2.9362833499908447","2.9362833499908447"
"1153","","","","3.2502455711364746","3.2502455711364746","3.2502455711364746"
"1163","","","","3.1944499015808105","3.1944499015808105","3.1944499015808105"
"1164","3.1745102405548096","3.1745102405548096","3.1745102405548096","","",""
"1170","","","","3.281656503677368","3.281656503677368","3.281656503677368"
"1183","","","","3.2061502933502197","3.2061502933502197","3.2061502933502197"
"1188","","","","3.346466302871704","3.346466302871704","3.346466302871704"
"1190","3.0880484580993652","3.0880484580993652","3.0880484580993652","","",""
"1197","","","","3.2983756065368652","3.2983756065368652","3.2983756065368652"
"1201","2.9424235820770264","2.9424235820770264","2.9424235820770264","","",""
"1202","","","","3.2599360942840576","3.2599360942840576","3.2599360942840576"
"1217","3.162229061126709","3.162229061126709","3.162229061126709","","",""
"1218","2.9368464946746826","2.9368464946746826","2.9368464946746826","","",""
"1226","3.066828489303589","3.066828489303589","3.066828489303589","","",""
"1231","","","","3.344895839691162","3.344895839691162","3.344895839691162"
"1232","","","","2.8713815212249756","2.8713815212249756","2.8713815212249756"
"1236","","","","3.1085684299468994","3.1085684299468994","3.1085684299468994"
"1240","","","","3.130324125289917","3.130324125289917","3.130324125289917"
"1248","","","","3.2012674808502197","3.2012674808502197","3.2012674808502197"
"1253","3.002446174621582","3.002446174621582","3.002446174621582","","",""
"1262","","","","2.905557155609131","2.905557155609131","2.905557155609131"
"1267","3.1073412895202637","3.1073412895202637","3.1073412895202637","","",""
"1281","","","","3.163266181945801","3.163266181945801","3.163266181945801"
"1283","2.9230406284332275","2.9230406284332275","2.9230406284332275","","",""
"1292","","","","2.9496302604675293","2.9496302604675293","2.9496302604675293"
"1299","2.765275001525879","2.765275001525879","2.765275001525879","","",""
"1301","2.9490392208099365","2.9490392208099365","2.9490392208099365","","",""
"1305","","","","2.793046236038208","2.793046236038208","2.793046236038208"
"1319","","","","3.075310468673706","3.075310468673706","3.075310468673706"
"1321","","","","2.9878323078155518","2.9878323078155518","2.9878323078155518"
"1325","2.9249868392944336","2.9249868392944336","2.9249868392944336","","",""
"1329","","","","2.917898654937744","2.917898654937744","2.917898654937744"
"1330","2.9633617401123047","2.9633617401123047","2.9633617401123047","","",""
"1332","2.8622825145721436","2.8622825145721436","2.8622825145721436","","",""
"1334","3.1538589000701904","3.1538589000701904","3.1538589000701904","","",""
"1336","","","","2.848871946334839","2.848871946334839","2.848871946334839"
"1338","2.762634038925171","2.762634038925171","2.762634038925171","","",""
"1345","3.0543811321258545","3.0543811321258545","3.0543811321258545","","",""
"1348","2.958094835281372","2.958094835281372","2.958094835281372","","",""
"1363","","","","3.0350489616394043","3.0350489616394043","3.0350489616394043"
"1365","","","","3.1774141788482666","3.1774141788482666","3.1774141788482666"
"1369","2.8001766204833984","2.8001766204833984","2.8001766204833984","","",""
"1373","2.9644315242767334","2.9644315242767334","2.9644315242767334","","",""
"1388","3.012946605682373","3.012946605682373","3.012946605682373","","",""
"1391","","","","2.7635717391967773","2.7635717391967773","2.7635717391967773"
"1397","3.067765712738037","3.067765712738037","3.067765712738037","","",""
"1406","2.72373628616333","2.72373628616333","2.72373628616333","","",""
"1418","3.08762788772583","3.08762788772583","3.08762788772583","","",""
"1419","2.7043540477752686","2.7043540477752686","2.7043540477752686","","",""
"1438","","","","3.0629396438598633","3.0629396438598633","3.0629396438598633"
"1439","","","","2.9696638584136963","2.9696638584136963","2.9696638584136963"
"1441","2.870999813079834","2.870999813079834","2.870999813079834","","",""
"1442","","","","2.890150308609009","2.890150308609009","2.890150308609009"
"1446","","","","2.8399674892425537","2.8399674892425537","2.8399674892425537"
"1459","","","","2.7948713302612305","2.7948713302612305","2.7948713302612305"
"1469","","","","2.7511675357818604","2.7511675357818604","2.7511675357818604"
"1485","2.858429431915283","2.858429431915283","2.858429431915283","","",""
"1490","","","","2.724224090576172","2.724224090576172","2.724224090576172"
"1496","","","","2.937263250350952","2.937263250350952","2.937263250350952"
"1501","","","","2.8291258811950684","2.8291258811950684","2.8291258811950684"
"1503","2.8561606407165527","2.8561606407165527","2.8561606407165527","","",""
"1510","2.933800220489502","2.933800220489502","2.933800220489502","","",""
"1511","","","","2.7427101135253906","2.7427101135253906","2.7427101135253906"
"1516","","","","2.959867000579834","2.959867000579834","2.959867000579834"
"1530","","","","2.793591022491455","2.793591022491455","2.793591022491455"
"1532","","","","2.810732364654541","2.810732364654541","2.810732364654541"
"1541","2.8468892574310303","2.8468892574310303","2.8468892574310303","2.980588912963867","2.980588912963867","2.980588912963867"
"1542","","","","2.85691499710083","2.85691499710083","2.85691499710083"
"1545","","","","2.886587381362915","2.886587381362915","2.886587381362915"
"1554","","","","2.9197916984558105","2.9197916984558105","2.9197916984558105"
"1565","3.1883857250213623","3.1883857250213623","3.1883857250213623","","",""
"1571","2.793602466583252","2.793602466583252","2.793602466583252","","",""
"1574","2.7775707244873047","2.7775707244873047","2.7775707244873047","","",""
"1578","2.7713491916656494","2.7713491916656494","2.7713491916656494","","",""
"1580","","","","2.853320360183716","2.853320360183716","2.853320360183716"
"1589","2.5682966709136963","2.5682966709136963","2.5682966709136963","2.8301117420196533","2.8301117420196533","2.8301117420196533"
"1590","2.7889461517333984","2.7889461517333984","2.7889461517333984","3.0023367404937744","3.0023367404937744","3.0023367404937744"
"1594","2.73656964302063","2.73656964302063","2.73656964302063","","",""
"1596","","","","2.6763980388641357","2.6763980388641357","2.6763980388641357"
"1599","2.7237703800201416","2.7237703800201416","2.7237703800201416","","",""
"1603","2.6634273529052734","2.6634273529052734","2.6634273529052734","","",""
"1605","","","","2.791616678237915","2.791616678237915","2.791616678237915"
"1606","","","","2.8525969982147217","2.8525969982147217","2.8525969982147217"
"1608","","","","2.7355854511260986","2.7355854511260986","2.7355854511260986"
"1610","2.886343240737915","2.886343240737915","2.886343240737915","","",""
"1614","2.8171637058258057","2.8171637058258057","2.8171637058258057","","",""
"1619","","","","2.7834177017211914","2.7834177017211914","2.7834177017211914"
"1622","","","","2.780327320098877","2.780327320098877","2.780327320098877"
"1632","","","","2.785703420639038","2.785703420639038","2.785703420639038"
"1633","2.9603161811828613","2.9603161811828613","2.9603161811828613","","",""
"1640","2.6822445392608643","2.6822445392608643","2.6822445392608643","3.132119655609131","3.132119655609131","3.132119655609131"
"1641","2.740253448486328","2.740253448486328","2.740253448486328","2.8889529705047607","2.8889529705047607","2.8889529705047607"
