"epoch","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step__MIN","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step__MAX","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/loss","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/loss__MIN","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/loss__MAX","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step__MIN","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step__MAX","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/loss","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/loss__MIN","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/loss__MAX"
"92","57486.26666666667","57148","57734","1.0127161065737407","0.8101345896720886","1.2639068365097046","57440.769230769234","57158","57758","1.1530086077176607","0.9745506048202515","1.3582931756973267"
"93","58102.76190476191","57776","58398","1.0222327879496984","0.7687020301818848","1.298356533050537","58032.06451612903","57814","58354","1.1085698066219207","0.8642221689224243","1.3688440322875977"
"94","58744.58064516129","58424","59024","1.031690259133616","0.8057987689971924","1.3041552305221558","58674.666666666664","58404","59022","1.1041366811151858","0.9369162321090698","1.3388711214065552"
"95","59337.030303030304","59044","59654","0.9676850564552076","0.7964153289794922","1.3247771263122559","59324.717948717946","59032","59636","1.143779517748417","0.8788007497787476","1.4790891408920288"
"96","59966.625","59664","60276","0.9803871866315603","0.7577962279319763","1.3689199686050415","60011.17647058824","59700","60268","1.133373705779805","0.9261162877082825","1.3934882879257202"
"97","60618.06896551724","60294","60868","1.0230244994163513","0.7424196004867554","1.4542427062988281","60579.0625","60310","60876","1.1039441842585802","0.8962358236312866","1.4161710739135742"
"98","61225.5","60922","61526","1.012400571256876","0.740504801273346","1.3147146701812744","61288.22857142857","60974","61532","1.1324972646577018","0.9373942017555237","1.387773036956787"
"99","61846.692307692305","61584","62162","0.9793865566070263","0.7044321894645691","1.1608107089996338","61861.757575757576","61558","62166","1.0907508712826353","0.8914387226104736","1.3194830417633057"
"100","62462.96296296296","62208","62778","0.982364124721951","0.7854424715042114","1.2149062156677246","62463","62172","62744","1.0859801093737285","0.8379924893379211","1.4401243925094604"
"101","63106","62816","63412","0.9233014150099321","0.7017465233802795","1.2479132413864136","63067.290322580644","62816","63404","1.1197589808894741","0.9642788171768188","1.4127856492996216"
