"epoch","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MAX","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/loss","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/loss__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/loss__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/loss","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/loss__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/loss__MAX"
"63","19699.13888888889","19540","19838","1.2016748521063063","0.8133498430252075","1.55874502658844","19686.5","19536","19828","0.2947927831726916","0.19371141493320465","0.443480908870697"
"64","20028.605263157893","19851","20153","1.183700214875372","0.9775840640068054","1.4174997806549072","20017.926829268294","19847","20146","0.2823044356049561","0.17246714234352112","0.4367590546607971"
"65","20342.473684210527","20163","20469","1.1694550247568833","0.8623983860015869","1.5499542951583862","20304.175","20165","20470","0.2774409793317318","0.11329066753387451","0.41919365525245667"
"66","20627.238095238095","20480","20777","1.193887208189283","1.0068222284317017","1.4324740171432495","20647.27027027027","20478","20786","0.26433906482683645","0.14229565858840942","0.4352482855319977"
"67","20938.625","20796","21096","1.1472998797893523","0.8711156845092773","1.3928028345108032","20952.285714285714","20793","21101","0.26668105913060053","0.1606333702802658","0.462849885225296"
"68","21261.585365853658","21111","21403","1.1166979496071978","0.8102983236312866","1.4193297624588013","21235.172413793105","21108","21411","0.2692911147043623","0.17150792479515076","0.4347308576107025"
"69","21550.34375","21429","21719","1.1025237645953894","0.8007403612136841","1.4138530492782593","21583.166666666668","21422","21729","0.25033731559912364","0.12917561829090118","0.43263331055641174"
"70","21900.6","21736","22045","1.1232100039720536","0.8789250254631042","1.4309279918670654","21902.972972972973","21741","22042","0.24029736301383456","0.13351692259311676","0.3548235297203064"
"71","22185.542857142857","22051","22323","1.0696940660476684","0.8539396524429321","1.294918417930603","22197.636363636364","22051","22357","0.21878420493819498","0.1368880569934845","0.3282599151134491"
"72","22528.777777777777","22374","22667","1.1102839956680934","0.7438356280326843","1.5602680444717407","22528.48","22374","22671","0.2593108516931534","0.12737004458904266","0.39514729380607605"
"73","22854.666666666668","22685","22988","1.0964023252328237","0.8777158260345459","1.3599990606307983","22828.439024390245","22680","22979","0.23675397365558437","0.13129499554634094","0.5026733875274658"
"74","23144.178571428572","23000","23283","1.10532169682639","0.7735563516616821","1.3521192073822021","23128.689655172413","22998","23291","0.20648969812639828","0.1174633651971817","0.32717055082321167"
